issn_input,issn_l,id,display_name,publisher,works_count,created_date,match_issn
2076-3433,0256-0100,V154219984,South African Journal of Education,Education Association of South Africa,1417,2016-06-24,issn
2225-8531,2225-8531,V2764967830,South African Journal of Geomatics,African Journals Online,250,2017-10-27,issn
1011-3487,1011-3487,V2764671384,South African journal of higher education,African Journals Online,2439,2017-10-27,issn
0038-2329,0038-2329,V4210227071,South African journal of obstetrics and gynaecology,South African Medical Association NPC,2,2022-02-03,issn
2305-8862,0038-2329,V4210227071,South African journal of obstetrics and gynaecology,South African Medical Association NPC,2,2022-02-03,issn
0258-0136,0258-0136,V199106067,South African Journal of Philosophy,Taylor & Francis,926,2016-06-24,issn
0257-1862,0257-1862,V2764755494,The South African Journal of Plant and Soil,Taylor & Francis,1605,2017-10-27,issn
2167-034X,0257-1862,V2764755494,The South African Journal of Plant and Soil,Taylor & Francis,1605,2017-10-27,issn
1608-9685,1608-9685,V4210209666,South African journal of psychiatry,AOSIS,27,2022-02-03,issn
2078-6786,1608-9685,V4210209666,South African journal of psychiatry,AOSIS,27,2022-02-03,issn
1015-5163,1015-5163,V2764876291,South African Journal of Sports Medicine,Academy of Science of South Africa,680,2017-10-27,issn
2078-516X,1015-5163,V2764876291,South African Journal of Sports Medicine,Academy of Science of South Africa,680,2017-10-27,issn
0038-2353,0038-2353,V27554591,South African Journal of Science,Academy of Science of South Africa,4542,2016-06-24,issn
1996-7489,0038-2353,V27554591,South African Journal of Science,Academy of Science of South Africa,4542,2016-06-24,issn
0038-2361,0038-2361,V68167138,South African Journal of Surgery,Academy of Science of South Africa,2237,2016-06-24,issn
2078-5151,0038-2361,V68167138,South African Journal of Surgery,Academy of Science of South Africa,2237,2016-06-24,issn
2078-5135,0256-9574,V147026946,South African Medical Journal,South African Medical Association NPC,30461,2016-06-24,issn
0256-95749,0256-9574,V147026946,South African Medical Journal,South African Medical Association NPC,30461,2016-06-24,issn
0258-509X,0258-509X,V4210178470,South African journal of musicology,African Journals Online,48,2022-02-03,issn
2309-4605,NA,NA,NA,NA,NA,NA,NA
2309-4613,NA,NA,NA,NA,NA,NA,NA
1819-3692,1819-3692,V4210229313,"Southern Africa journal of education, science and technology",African Journals Online,33,2022-02-03,issn
1561-896X,NA,NA,NA,NA,NA,NA,NA
1998-8125,1998-8125,V2764696161,Southern African Business Review,UNISA Press,431,2017-10-27,issn
2220-1181,2220-1181,V4210192822,South African journal of anaesthesia and analgesia,Medpharm Publications,4,2022-02-03,issn
2220-1173,2220-1181,V4210192822,South African journal of anaesthesia and analgesia,Medpharm Publications,4,2022-02-03,issn
1562-8264,1562-8264,V2764498849,The Southern African journal of critical care,South African Medical Association NPC,243,2017-10-27,issn
2078-676X,1562-8264,V2764498849,The Southern African journal of critical care,South African Medical Association NPC,243,2017-10-27,issn
1810-0333,1810-0333,V4210213118,"Environmental education, ethics and action in Southern Africa",African Journals Online,0,2022-02-03,issn
2411-5959,0256-7504,V4210201083,Southern African journal of environmental education,NA,5,2022-02-03,issn
1608-9693,1608-9693,V74263619,Southern African Journal of Hiv Medicine,AOSIS,937,2016-06-24,issn
2078-6751,1608-9693,V74263619,Southern African Journal of Hiv Medicine,AOSIS,937,2016-06-24,issn
1607-3614,1607-3614,V27405557,Southern African Linguistics and Applied Language Studies,Taylor & Francis,711,2016-06-24,issn
1727-9461,1607-3614,V27405557,Southern African Linguistics and Applied Language Studies,Taylor & Francis,711,2016-06-24,issn
2070-2620,2070-2620,V4210178797,Southern forests,Taylor & Francis,11,2022-02-03,issn
2070-2639,2070-2620,V4210178797,Southern forests,Taylor & Francis,11,2022-02-03,issn
1027-3417,1027-3417,V4210167496,Stellenbosch papers in linguistics,Stellenbosch University - SPIL,179,2022-02-03,issn
2223-9936,1027-3417,V4210167496,Stellenbosch papers in linguistics,Stellenbosch University - SPIL,179,2022-02-03,issn
2224-3380,1726-541X,V4210212394,SPIL plus,Stellenbosch University - SPILPlus,431,2022-02-03,issn
0855-9449,0855-9449,V4210222866,Studies in Gender and Development in Africa,African Journals Online,15,2022-02-03,issn
0796-5419,0796-5419,V4210239923,Sud-sciences et technologies,NA,13,2022-02-03,issn
1858-5051,1858-5051,V2764864708,Sudan journal of medical sciences,Knowledge E,654,2017-10-27,issn
1815-3941,1815-3941,V4210227002,Sudanese journal of dermatology,African Journals Online,81,2022-02-03,issn
1111-4924,2352-9717,V4210169414,Synthèse,NA,0,2022-02-03,issn
2352-9717,2352-9717,V4210169414,Synthèse,NA,0,2022-02-03,issn
0856-0625,0856-0625,V2764664033,Tanzania Dental Journal,African Journals Online,164,2017-10-27,issn
0856-9622,0856-9622,V4210202850,Tanzania journal of development studies,African Journals Online,30,2022-02-03,issn
2591-6831,0856-9622,V4210202850,Tanzania journal of development studies,African Journals Online,30,2022-02-03,issn
2408-8129,NA,NA,NA,NA,NA,NA,NA
2408-8137,NA,NA,NA,NA,NA,NA,NA
1821-6404,1821-9241,V2764344708,Tanzania journal of health research,NA,639,2017-10-27,issn
1821-9241,1821-9241,V2764344708,Tanzania journal of health research,NA,639,2017-10-27,issn
0856-1761,0856-1761,V4210234216,Tanzania journal of science,African Journals Online,31,2022-02-03,issn
2507-7961,0856-1761,V4210234216,Tanzania journal of science,African Journals Online,31,2022-02-03,issn
0856-0714,0856-0714,V2764639899,Tanzania Medical Journal,African Journals Online,218,2017-10-27,issn
0856-1451,0856-1451,V2764391296,Tanzania Veterinary Journal,African Journals Online,383,2017-10-27,issn
2714-206X,2714-206X,V4210211369,Tanzania Veterinary Journal,NA,0,2022-02-03,issn
1111-0902,1111-0902,V4210212888,Technologies avancées,African Journals Online,33,2022-02-03,issn
0251-043X,0251-043X,V4210172521,Africa thought and practice,African Journals Online,58,2022-02-03,issn
2076-7714,0251-043X,V4210172521,Africa thought and practice,African Journals Online,58,2022-02-03,issn
1012-280X,1012-280X,V4210174106,Stads- en streekbeplanninq,AFRICAN SUN MeDIA,71,2022-02-03,issn
2415-0495,1012-280X,V4210174106,Stads- en streekbeplanninq,AFRICAN SUN MeDIA,71,2022-02-03,issn
0254-2765,0254-2765,V4210170426,Transactions of the Zimbabwe Scientific Association,African Journals Online,37,2022-02-03,issn
0795-0101,0795-0101,V2764379944,Tropical Freshwater Biology,African Journals Online,226,2017-10-27,issn
1117-4153,1117-4153,V2765056459,Tropical Journal of Health Sciences,African Journals Online,406,2017-10-27,issn
1119-0388,1119-0388,V4210209201,Tropical Journal of Medical Research,Medknow Publications,0,2022-02-03,issn
0189-5117,0189-5117,V2764659574,Tropical journal of obstetrics and gynaecology,Medknow Publications,835,2017-10-27,issn
1596-5996,1596-9827,V174262287,Tropical Journal of Pharmaceutical Research,African Journals Online,3160,2016-06-24,issn
1596-9827,1596-9827,V174262287,Tropical Journal of Pharmaceutical Research,African Journals Online,3160,2016-06-24,issn
0794-4845,0794-4845,V4210212074,Tropical Veterinarian (Ibadan),African Journals Online,0,2022-02-03,issn
0041-476X,0041-476X,V175895065,Tydskrif Vir Letterkunde,Academy of Science of South Africa,1368,2016-06-24,issn
2309-9070,0041-476X,V175895065,Tydskrif Vir Letterkunde,Academy of Science of South Africa,1368,2016-06-24,issn
0041-574X,0041-574X,V2764863269,Uganda Journal,African Journals Online,292,2017-10-27,issn
1026-0919,1026-0919,V2764748915,Uganda Journal of Agricultural Sciences,African Journals Online,403,2017-10-27,issn
2410-6909,1026-0919,V2764748915,Uganda Journal of Agricultural Sciences,African Journals Online,403,2017-10-27,issn
1595-1413,1595-1413,V2764731397,UJAH: Unizik Journal of Arts and Humanities,African Journals Online,378,2017-10-27,issn
1021-0873,1021-0873,V2765059969,UNISWA Journal of Agriculture,African Journals Online,155,2017-10-27,issn
1029-9645,1029-9645,V4210184175,"UNISWA research journal of agriculture, science and technology",African Journals Online,135,2022-02-03,issn
0856-1818,0856-1818,V2764475542,University of Dar es Salaam Library journal,African Journals Online,177,2017-10-27,issn
1694-0342,1694-0342,V2764929348,University of Mauritius Research Journal,African Journals Online,271,2017-10-27,issn
1606-7479,1606-7479,V4210178311,Vulture news,African Journals Online,118,2022-02-03,issn
0378-4738,0378-4738,V181252140,Water SA,Academy of Science of South Africa,2384,2016-06-24,issn
0855-4307,0855-4307,V2764462469,West African Journal of Applied Ecology,African Journals Online,395,2017-10-27,issn
1116-5405,NA,NA,NA,NA,NA,NA,NA
0189-160X,0189-160X,V2754473468,West African journal of medicine,African Journals Online,2172,2017-09-25,issn
0303-691X,0303-691X,V2764574657,West African journal of pharmacology and drug research,African Journals Online,429,2017-10-27,issn
1115-3474,1115-3474,V2764406168,West African Journal of Radiology,Medknow Publications,329,2017-10-27,issn
0856-860X,0856-860X,V4210212756,Western Indian Ocean Journal of Marine Science,African Journals Online,9,2022-02-03,issn
1687-8671,1687-8671,V4210239691,Zagazig Journal of Occupational Health and Safety,African Journals Online,13,2022-02-03,issn
0379-0622,0379-0622,V193416847,Zambezia,African Journals Online,402,2016-06-24,issn
0514-6216,NA,NA,NA,NA,NA,NA,NA
1013-3445,1013-3445,V2764370093,Zimbabwe Journal of Educational Research,African Journals Online,554,2017-10-27,issn
2079-8997,2079-8997,V4210207379,Zimbabwe journal of technology sciences,African Journals Online,6,2022-02-03,issn
1016-1503,1016-1503,V4210227125,The Zimbabwe science news,African Journals Online,34,2022-02-03,issn
1016-1511,1016-1511,V2764608211,Zimbabwe veterinary journal,African Journals Online,150,2017-10-27,issn
1596-972X,1596-972X,V4210199217,The Zoologist,African Journals Online,101,2022-02-03,issn
