issn_input_cr,title_cr,publisher_cr,total_dois_cr
2360-7793,Research Journal of Health Sciences,African Journals Online,181
2467-8252,Research Journal of Health Sciences,African Journals Online,181
2305-2678,Rwanda Journal,African Journals Online,219
2617-2321,Rwanda Journal of Engineering Science Technology and Environment,African Journals Online,62
2617-233X,Rwanda Journal of Engineering Science Technology and Environment,African Journals Online,62
2616-9819,Rwanda Journal of Medicine and Health Sciences,African Journals Online,123
2616-9827,Rwanda Journal of Medicine and Health Sciences,African Journals Online,123
2312-9239,NA,NA,NA
1027-202X,South African Journal of Radiology,AOSIS,1108
2078-6778,South African Journal of Radiology,AOSIS,1108
1729-0376,SAHARA-J Journal of Social Aspects of HIV/AIDS,Informa UK (Taylor & Francis),386
1813-4424,SAHARA-J Journal of Social Aspects of HIV/AIDS,Informa UK (Taylor & Francis),386
1597-6343,Science World Journal,African Journals Online,141
2226-7522,Science Technology and Arts Research Journal,African Journals Online,417
2305-3372,Science Technology and Arts Research Journal,African Journals Online,417
1022-8136,Scientia Militaria South African Journal of Military Studies,Stellenbosch University - Scientia Militaria,1145
2224-0020,Scientia Militaria South African Journal of Military Studies,Stellenbosch University - Scientia Militaria,1145
0250-4162,NA,NA,NA
2313-1799,NA,NA,NA
2076-6270,Sierra Leone Journal of Biomedical Research,African Journals Online,63
1595-093X,Sokoto Journal of Veterinary Sciences,African Journals Online,360
1991-3877,South African Crime Quarterly,Academy of Science of South Africa,480
2078-6190,South African Family Practice,AOSIS,2252
2078-6204,South African Family Practice,AOSIS,2252
0301-603X,NA,NA,NA
2413-3221,South African Journal of Agricultural Extension (SAJAE),Academy of Science of South Africa,187
0375-1589,South African Journal of Animal Science,African Journals Online,1496
2221-4062,South African Journal of Animal Science,African Journals Online,1496
1999-7639,South African Journal of Bioethics and Law,South African Medical Association NPC,261
0379-4350,South African Journal of Chemistry,Academy of Science of South Africa,140
1994-3032,South African Journal of Child Health,South African Medical Association NPC,390
1999-7671,South African Journal of Child Health,South African Medical Association NPC,390
0256-0100,South African Journal of Education,Education Association of South Africa,823
2076-3433,South African Journal of Education,Education Association of South Africa,823
2225-8531,South African Journal of Geomatics,African Journals Online,141
0038-2329,South African Journal of Obstetrics and Gynaecology,South African Medical Association NPC,257
2305-8862,South African Journal of Obstetrics and Gynaecology,South African Medical Association NPC,257
1608-9685,South African Journal of Psychiatry,AOSIS,606
2078-6786,South African Journal of Psychiatry,AOSIS,606
1015-5163,South African Journal of Sports Medicine,Academy of Science of South Africa,825
2078-516X,South African Journal of Sports Medicine,Academy of Science of South Africa,825
0038-2361,South African Journal of Surgery,Academy of Science of South Africa,336
2078-5151,South African Journal of Surgery,Academy of Science of South Africa,336
