issn_input,issn_l,display_name,publisher,works_count
1596-6798,1596-6798,Global Journal of Geological Sciences,African Journals Online,268
1118-0579,1118-0579,Global Journal of Pure and Applied Sciences,African Journals Online,1576
1596-6216,1596-6216,Global Journal of Social Sciences,African Journals Online,301
2227-2178,NA,NA,NA,NA
2305-3739,NA,NA,NA,NA
1025-9848,1025-9848,Health Sa Gesondheid,AOSIS,889
2071-9736,1025-9848,Health Sa Gesondheid,AOSIS,889
0259-9422,0259-9422,Theological Studies/Teologiese Studies,AOSIS,49
2072-8050,0259-9422,Theological Studies/Teologiese Studies,AOSIS,49
0856-6739,0856-6739,Huria: Journal of the Open University of Tanzania,African Journals Online,284
0794-4896,0794-4896,Ife Journal of Science,African Journals Online,738
2141-7040,NA,NA,NA,NA
2079-7222,NA,NA,NA,NA
1445-7377,NA,NA,NA,NA
2141-4297,NA,NA,NA,NA
2360-994X,2360-994X,Information Impact: Journal of Information and Knowledge Management,African Journals Online,249
2077-2815,NA,NA,NA,NA
2315-5388,NA,NA,NA,NA
2384-681X,NA,NA,NA,NA
1991-8631,1991-8631,International Journal of Biological and Chemical Sciences,African Journals Online,3112
1997-342X,1991-8631,International Journal of Biological and Chemical Sciences,African Journals Online,3112
1597-9482,NA,NA,NA,NA
2734-3316,NA,NA,NA,NA
2141-2820,2141-2820,International journal of engineering science and technology,African Journals Online,893
2141-2839,NA,NA,NA,NA
1737-7374,1737-7374,International Journal of Modern Anthropology,African Journals Online,95
1737-8176,1737-7374,International Journal of Modern Anthropology,African Journals Online,95
1694-0423,NA,NA,NA,NA
2006-0734,2006-0734,Jos Journal of Medicine,African Journals Online,222
2315-9987,NA,NA,NA,NA
2449-108X,NA,NA,NA,NA
1119-944X,NA,NA,NA,NA
2408-6851,NA,NA,NA,NA
1997-5902,1997-5902,Journal of Applied Biosciences,"Elewa Biosciences, F.a.C.T Ltd (K)",1272
1119-8362,1119-8362,Journal of Applied Sciences and Environmental Management,African Journals Online,2470
2659-1502,NA,NA,NA,NA
2278-960X,2278-960X,Journal of Basic and Clinical Reproductive Sciences,Medknow Publications,174
2320-2041,2278-960X,Journal of Basic and Clinical Reproductive Sciences,Medknow Publications,174
0794-7410,0794-7410,Journal of Community Medicine and Primary Health Care,African Journals Online,239
0378-5254,NA,NA,NA,NA
2305-7432,NA,NA,NA,NA
1608-9677,NA,NA,NA,NA
2220-1009,NA,NA,NA,NA
1112-9867,1112-9867,Journal of Fundamental and Applied Sciences,African Journals Online,2799
1016-0728,NA,NA,NA,NA
1998-1279,1998-1279,"Journal of Language, Technology & Entrepreneurship in Africa",African Journals Online,218
2026-6294,NA,NA,NA,NA
1596-6941,1596-6941,Journal of Medicine and Biomedical Research,African Journals Online,251
1118-1028,NA,NA,NA,NA
2006-5442,NA,NA,NA,NA
2141-1778,NA,NA,NA,NA
2070-1748,NA,NA,NA,NA
0855-0395,NA,NA,NA,NA
2307-6267,2307-6267,Journal of Student Affairs in Africa,Stellenbosch University - Journal of Student Affairs in Africa,251
2467-8406,NA,NA,NA,NA
2467-8392,NA,NA,NA,NA
2617-3948,NA,NA,NA,NA
1012-2796,NA,NA,NA,NA
2072-7992,NA,NA,NA,NA
2071-2162,NA,NA,NA,NA
2077-4907,2077-4907,"Law, Democracy and Development",African Journals Online,364
0855-1502,0855-1502,Legon Journal of the Humanities,African Journals Online,271
2458-746X,NA,NA,NA,NA
2437-0568,NA,NA,NA,NA
1012-0009,NA,NA,NA,NA
1684-4904,1684-4904,Lexikos,Stellenbosch University - Lexikos,1093
2224-0039,1684-4904,Lexikos,Stellenbosch University - Lexikos,1093
1993-2820,1819-6357,Libyan Journal of Medicine,Taylor & Francis,541
1819-6357,1819-6357,Libyan Journal of Medicine,Taylor & Francis,541
1662-2510,1662-2510,Madagascar Conservation & Development,African Journals Online,236
1816-6822,1816-6822,Makerere Journal of Higher Education,African Journals Online,162
2707-6113,1816-6822,Makerere Journal of Higher Education,African Journals Online,162
1995-7262,NA,NA,NA,NA
0047-651X,0047-651X,Medical journal of Zambia,African Journals Online,855
2346-7126,NA,NA,NA,NA
1998-9881,1998-9881,Mizan Law Review,African Journals Online,215
2309-902X,1998-9881,Mizan Law Review,African Journals Online,215
2073-073X,2073-073X,Momona Ethiopian Journal of Science,African Journals Online,211
2220-184X,2073-073X,Momona Ethiopian Journal of Science,African Journals Online,211
0300-368X,0300-368X,Nigeria Agricultural Journal,African Journals Online,749
1596-0862,NA,NA,NA,NA
1597-4292,NA,NA,NA,NA
0794-5698,0794-5698,Nigerian Journal of Basic and Applied Sciences,African Journals Online,439
0189-1731,0189-1731,Nigerian Journal of Biotechnology,African Journals Online,370
1119-0221,1119-0221,Nigerian Journal of Chemical Research,African Journals Online,186
1119-3077,2229-7731,Nigerian Journal of Clinical Practice,NA,2847
0189-9171,0189-9171,Nigerian journal of ophthalmology,Medknow Publications,366
2468-8363,NA,NA,NA,NA
0302-4660,0302-4660,Nigerian journal of paediatrics,African Journals Online,622
0794-859X,0794-859X,Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria,African Journals Online,449
1117-6806,1117-6806,Nigerian journal of surgery : official publication of the Nigerian Surgical Research Society,Medknow Publications,267
0189-9546,2437-2110,Nigerian Journal of Technological Development,African Journals Online,207
2437-2110,2437-2110,Nigerian Journal of Technological Development,African Journals Online,207
0331-8443,0331-8443,Nigerian Journal of Technology,African Journals Online,1493
2467-8821,0331-8443,Nigerian Journal of Technology,African Journals Online,1493
0331-3026,0331-3026,Nigerian Veterinary Journal,African Journals Online,664
2276-7371,NA,NA,NA,NA
1597-474X,1597-474X,OGIRISI: a New Journal of African Studies,African Journals Online,159
2226-4485,2218-6050,Open veterinary journal,ScopeMed,531
2218-6050,2218-6050,Open veterinary journal,ScopeMed,531
0529-191X,NA,NA,NA,NA
2304-8239,NA,NA,NA,NA
1937-8688,1937-8688,The Pan African medical journal,Pan African Medical Journal,9996
1727-3781,1727-3781,Potchefstroom Electronic Law Journal,Academy of Science of South Africa,965
2224-3534,NA,NA,NA,NA
2415-5152,NA,NA,NA,NA
2360-7793,NA,NA,NA,NA
2467-8252,2467-8252,Research Journal of Health Sciences,African Journals Online,280
2305-2678,NA,NA,NA,NA
2617-2321,NA,NA,NA,NA
2617-233X,NA,NA,NA,NA
2616-9819,NA,NA,NA,NA
2616-9827,NA,NA,NA,NA
2312-9239,NA,NA,NA,NA
1027-202X,1027-202X,SA Journal of Radiology,AOSIS,544
2078-6778,1027-202X,SA Journal of Radiology,AOSIS,544
1729-0376,1729-0376,SAHARA-J,Taylor & Francis,48
1813-4424,1729-0376,SAHARA-J,Taylor & Francis,48
1597-6343,1597-6343,Science World Journal,African Journals Online,617
2226-7522,2226-7522,"Science, Technology and Arts Research Journal",African Journals Online,418
2305-3372,2226-7522,"Science, Technology and Arts Research Journal",African Journals Online,418
1022-8136,NA,NA,NA,NA
2224-0020,2224-0020,Scientia Militaria: South African Journal of Military Studies,Stellenbosch University - Scientia Militaria,1268
0250-4162,NA,NA,NA,NA
2313-1799,NA,NA,NA,NA
2076-6270,NA,NA,NA,NA
1595-093X,1595-093X,Sokoto Journal of Veterinary Sciences,African Journals Online,556
1991-3877,2413-3108,South African Crime Quarterly,Academy of Science of South Africa,384
2078-6190,2078-6190,South African Family Practice,AOSIS,4187
2078-6204,2078-6190,South African Family Practice,AOSIS,4187
0301-603X,0301-603X,South African Journal of Agricultural Extension,NA,402
2413-3221,0301-603X,South African Journal of Agricultural Extension,NA,402
0375-1589,0375-1589,South African Journal of Animal Science,African Journals Online,2605
2221-4062,0375-1589,South African Journal of Animal Science,African Journals Online,2605
1999-7639,1999-7639,South African Journal of Bioethics and Law,South African Medical Association NPC,344
0379-4350,0379-4350,South African journal of chemistry,Academy of Science of South Africa,1149
1994-3032,1994-3032,South African Journal of Child Health,South African Medical Association NPC,623
1999-7671,1994-3032,South African Journal of Child Health,South African Medical Association NPC,623
0256-0100,0256-0100,South African Journal of Education,Education Association of South Africa,1408
2076-3433,0256-0100,South African Journal of Education,Education Association of South Africa,1408
2225-8531,2225-8531,South African Journal of Geomatics,African Journals Online,250
0038-2329,NA,NA,NA,NA
2305-8862,NA,NA,NA,NA
1608-9685,NA,NA,NA,NA
2078-6786,NA,NA,NA,NA
1015-5163,1015-5163,South African Journal of Sports Medicine,Academy of Science of South Africa,679
2078-516X,1015-5163,South African Journal of Sports Medicine,Academy of Science of South Africa,679
0038-2361,0038-2361,South African Journal of Surgery,Academy of Science of South Africa,2237
2078-5151,0038-2361,South African Journal of Surgery,Academy of Science of South Africa,2237
2078-5135,0256-9574,South African Medical Journal,South African Medical Association NPC,30423
0256-9574,0256-9574,South African Medical Journal,South African Medical Association NPC,30423
2309-4605,NA,NA,NA,NA
2309-4613,NA,NA,NA,NA
1561-896X,NA,NA,NA,NA
1998-8125,1998-8125,Southern African Business Review,UNISA Press,431
2220-1181,NA,NA,NA,NA
2220-1173,NA,NA,NA,NA
1562-8264,1562-8264,The Southern African journal of critical care,South African Medical Association NPC,243
2078-676X,1562-8264,The Southern African journal of critical care,South African Medical Association NPC,243
1810-0333,NA,NA,NA,NA
2411-5959,NA,NA,NA,NA
1608-9693,1608-9693,Southern African Journal of Hiv Medicine,AOSIS,929
2078-6751,1608-9693,Southern African Journal of Hiv Medicine,AOSIS,929
1027-3417,NA,NA,NA,NA
2223-9936,NA,NA,NA,NA
2224-3380,NA,NA,NA,NA
1858-5051,1858-5051,Sudan journal of medical sciences,Knowledge E,654
1111-4924,NA,NA,NA,NA
2352-9717,NA,NA,NA,NA
0856-0625,0856-0625,Tanzania Dental Journal,African Journals Online,164
1821-6404,1821-9241,Tanzania journal of health research,NA,639
1821-9241,1821-9241,Tanzania journal of health research,NA,639
0856-1761,NA,NA,NA,NA
2507-7961,NA,NA,NA,NA
0189-5117,0189-5117,Tropical journal of obstetrics and gynaecology,Medknow Publications,835
1596-5996,1596-9827,Tropical Journal of Pharmaceutical Research,African Journals Online,3160
1596-9827,1596-9827,Tropical Journal of Pharmaceutical Research,African Journals Online,3160
0041-476X,0041-476X,Tydskrif Vir Letterkunde,Academy of Science of South Africa,1367
2309-9070,0041-476X,Tydskrif Vir Letterkunde,Academy of Science of South Africa,1367
1595-1413,1595-1413,UJAH: Unizik Journal of Arts and Humanities,African Journals Online,378
0856-1818,0856-1818,University of Dar es Salaam Library journal,African Journals Online,177
1606-7479,NA,NA,NA,NA
0378-4738,0378-4738,Water SA,Academy of Science of South Africa,2374
0855-4307,0855-4307,West African Journal of Applied Ecology,African Journals Online,395
1116-5405,NA,NA,NA,NA
0856-860X,NA,NA,NA,NA
1024-0969,1024-0969,African Anthropologist,African Journals Online,152
1119-023X,NA,NA,NA,NA
1116-6495,NA,NA,NA,NA
1022-9272,1022-9272,African Journal of Health Sciences,African Journals Online,588
0850-7902,0850-7902,African Journal of International Affairs,African Journals Online,85
1994-8220,NA,NA,NA,NA
1607-9949,1607-9949,African Journal of Science and Technology,African Journals Online,220
2141-162X,NA,NA,NA,NA
1596-3519,1596-3519,Annals of African Medicine,Medknow Publications,913
1858-554X,1858-554X,Arab journal of nephrology and transplantation,African Journals Online,144
0795-0268,NA,NA,NA,NA
1596-7409,NA,NA,NA,NA
0795-8080,NA,NA,NA,NA
1810-0163,NA,NA,NA,NA
1812-5840,NA,NA,NA,NA
2090-7214,NA,NA,NA,NA
0256-2170,NA,NA,NA,NA
2078-5143,NA,NA,NA,NA
0856-7212,NA,NA,NA,NA
1992-0407,1992-0407,East African Journal of Sciences,African Journals Online,249
1026-552X,NA,NA,NA,NA
2006-7593,NA,NA,NA,NA
1110-6859,1110-6859,Egyptian Journal of Biology,African Journals Online,212
1110-6867,NA,NA,NA,NA
2311-9772,NA,NA,NA,NA
2410-2393,NA,NA,NA,NA
1993-3681,1993-3681,Ethiopian Journal of Economics,African Journals Online,236
1597-8826,NA,NA,NA,NA
1596-2903,1596-2903,Global Journal of Agricultural Sciences,African Journals Online,401
1597-9857,NA,NA,NA,NA
1596-6194,1596-6194,Global Journal of Environmental Sciences,African Journals Online,171
1596-6232,NA,NA,NA,NA
1596-6208,1596-6208,Global Journal of Mathematical Sciences,African Journals Online,152
1596-2911,1596-2911,Global Journal of Medical Sciences,African Journals Online,111
1596-5422,NA,NA,NA,NA
0331-5428,NA,NA,NA,NA
2315-6562,NA,NA,NA,NA
2384-6828,NA,NA,NA,NA
1596-9819,1596-9819,International Journal of Health Research,African Journals Online,120
2315-537X,NA,NA,NA,NA
2384-6836,NA,NA,NA,NA
2277-0941,2315-5019,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,166
2315-5019,2315-5019,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,166
1595-7470,NA,NA,NA,NA
2077-3420,NA,NA,NA,NA
1028-6098,NA,NA,NA,NA
0855-6660,NA,NA,NA,NA
2006-8808,2006-8808,Journal of Surgical Technique and Case Report,CLOCKSS Archive,184
1998-6017,NA,NA,NA,NA
0795-0039,NA,NA,NA,NA
1737-7803,NA,NA,NA,NA
1019-7079,NA,NA,NA,NA
1595-1103,1595-1103,Nigerian Journal of Surgical Research,CLOCKSS Archive,267
2226-728X,NA,NA,NA,NA
1596-5414,NA,NA,NA,NA
1812-0741,NA,NA,NA,NA
0379-2897,0379-2897,"Sinet, Ethiopian Journal of Science",African Journals Online,390
2520–7997,NA,NA,NA,NA
1819-3692,NA,NA,NA,NA
0855-9449,NA,NA,NA,NA
0251-043X,NA,NA,NA,NA
2076-7714,NA,NA,NA,NA
1012-280X,NA,NA,NA,NA
2415-0495,NA,NA,NA,NA
1026-0919,1026-0919,Uganda Journal of Agricultural Sciences,African Journals Online,403
2410-6909,1026-0919,Uganda Journal of Agricultural Sciences,African Journals Online,403
1694-0342,1694-0342,University of Mauritius Research Journal,African Journals Online,271
0189-160X,0189-160X,West African journal of medicine,African Journals Online,2172
0514-6216,NA,NA,NA,NA
2707-7209,NA,NA,NA,NA
